STATE,ST_CASE,VE_TOTAL,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,MILEPT,LATITUDE,LONGITUD
North Carolina,370461,2,2,57,2620,21,5,2015,0,35.83034167,-80.24588333
North Carolina,370462,2,3,71,390,4,5,2015,0,35.25710278,-81.02721389
North Carolina,370463,1,1,71,390,17,5,2015,0,35.24613333,-81.01041111
North Carolina,370464,1,1,71,390,18,5,2015,0,35.23270833,-81.05031389
North Carolina,370465,1,3,81,0,27,5,2015,0,36.05913056,-79.66142222
North Carolina,370466,2,2,81,1940,31,5,2015,0,36.02100556,-79.85917222
North Carolina,370467,1,1,93,0,27,5,2015,0,34.95976111,-79.22138611
North Carolina,370468,1,1,97,0,21,5,2015,0,35.92372778,-80.75810833
North Carolina,370469,1,1,99,9997,3,5,2015,0,35.49268056,-83.18536389
North Carolina,370470,3,3,105,0,18,5,2015,0,35.55486111,-79.27580556
North Carolina,370471,1,1,111,0,31,5,2015,0,35.66081944,-81.96060278
North Carolina,370472,1,2,119,3095,22,5,2015,0,35.14666667,-80.65007778
North Carolina,370473,2,2,141,0,12,5,2015,0,34.55036389,-77.89365556
North Carolina,370474,1,1,149,0,31,5,2015,0,35.31372778,-82.22254444
North Carolina,370475,2,2,153,0,18,5,2015,0,34.92994444,-79.77695278
North Carolina,370476,1,1,163,970,24,5,2015,0,34.98631944,-78.32119722
North Carolina,370477,1,1,187,3670,12,5,2015,0,35.86626111,-76.72478056
North Carolina,370478,2,3,193,5040,29,5,2015,0,36.14996667,-81.20806389
North Carolina,370479,2,8,195,0,27,5,2015,0,35.64880833,-78.00509722
North Carolina,370480,2,2,85,1350,6,2,2015,0,35.30679444,-78.61020278
North Carolina,370481,4,6,141,0,23,5,2015,0,34.40076111,-77.62746111
North Carolina,370482,2,3,9,0,5,6,2015,0,36.43512778,-81.43975556
North Carolina,370483,1,1,13,0,6,6,2015,0,35.69417778,-76.77018333
North Carolina,370484,1,3,19,0,13,6,2015,0,33.99538889,-78.30254722
North Carolina,370485,1,1,21,170,15,6,2015,0,35.55551944,-82.61748056
North Carolina,370486,2,2,23,0,16,6,2015,0,35.709675,-81.43969167
North Carolina,370487,1,2,25,1040,13,6,2015,0,35.35339722,-80.58118056
North Carolina,370488,1,2,25,0,16,6,2015,0,35.39797778,-80.40200556
North Carolina,370489,2,2,25,0,23,6,2015,0,35.44701389,-80.73051389
